PORT_ID,TERMINAL_ID,VESSEL_TYPE_ID_missing_ratio,IS_BALLAST_missing_ratio,TERMINAL_ID_missing_ratio,COMMODITY_ID_missing_ratio,n_obs
103029,,0.09009009009009009,0.0,1.0,0.07207207207207207,111
104526,,0.08974358974358974,0.0,1.0,0.1282051282051282,78
101122,,0.3380281690140845,0.0,1.0,0.16901408450704225,71
100469,,0.0,0.0,1.0,0.0,45
100817,,0.5517241379310345,0.0,1.0,0.3103448275862069,29
101967,,0.06896551724137931,0.0,1.0,0.13793103448275862,29
101690,,0.48148148148148145,0.0,1.0,0.25925925925925924,27
100682,,0.0,0.0,1.0,0.0,26
104131,,0.7692307692307693,0.0,1.0,0.15384615384615385,26
102955,,0.0,0.0,1.0,0.0,25
101435,,0.0,0.0,1.0,0.043478260869565216,23
100963,,0.391304347826087,0.0,1.0,0.21739130434782608,23
103378,,0.22727272727272727,0.0,1.0,0.0,22
102825,,0.21052631578947367,0.0,1.0,0.0,19
103527,,0.1111111111111111,0.0,1.0,0.1111111111111111,18
106354,,0.07142857142857142,0.0,1.0,0.0,14
102146,,0.0,0.0,1.0,0.0,13
100195,,0.0,0.0,1.0,0.0,13
100265,,0.0,0.0,1.0,0.0,13
104146,,0.0,0.0,1.0,0.0,11
110107,,0.0,0.0,1.0,0.0,11
101962,,0.0,0.0,1.0,0.0,10
103963,,0.9,0.0,1.0,0.0,10
100343,,0.0,0.0,1.0,0.0,10
101677,,0.0,0.0,1.0,0.0,10
102379,,0.0,0.0,1.0,0.2,10
102517,,0.0,0.0,1.0,0.0,9
102567,,0.0,0.0,1.0,0.0,9
103707,,0.4444444444444444,0.0,1.0,0.0,9
103274,,0.0,0.0,1.0,0.0,8
102355,,0.0,0.0,1.0,0.0,8
104559,,0.0,0.0,1.0,0.0,8
101506,,0.0,0.0,1.0,0.0,8
100694,,0.0,0.0,1.0,0.0,8
104130,,0.125,0.0,1.0,0.75,8
104284,,0.0,0.0,1.0,0.0,7
108623,,0.0,0.0,1.0,0.0,7
101014,,0.0,0.0,1.0,0.14285714285714285,7
101799,,0.0,0.0,1.0,0.0,7
101266,,1.0,0.0,1.0,0.0,6
101234,,0.0,0.0,1.0,0.0,6
102036,,1.0,0.0,1.0,0.0,6
106681,,0.0,0.0,1.0,0.0,6
101749,,0.0,0.0,1.0,0.0,6
101040,,0.0,0.0,1.0,0.0,6
104698,,0.0,0.0,1.0,0.0,6
104658,,0.0,0.0,1.0,0.0,6
103315,,1.0,0.0,1.0,0.0,6
101651,,1.0,0.0,1.0,0.0,6
103154,,0.0,0.0,1.0,0.0,6
101110,,0.0,0.0,1.0,0.0,6
101390,,0.0,0.0,1.0,0.0,6
101379,,0.0,0.0,1.0,0.0,6
101278,,0.0,0.0,1.0,0.0,6
102886,,0.0,0.0,1.0,0.0,5
104040,960119.0,0.0,0.0,0.0,0.0,5
103370,,0.0,0.0,1.0,0.0,5
103287,,1.0,0.0,1.0,0.0,5
103281,,0.4,0.0,1.0,0.0,5
103578,,0.0,0.0,1.0,0.0,5
104420,,0.8,0.0,1.0,0.2,5
101137,,0.0,0.0,1.0,0.0,5
100269,,1.0,0.0,1.0,0.0,5
104424,,0.0,0.0,1.0,0.0,5
101705,,0.0,0.0,1.0,0.0,5
100955,,0.0,0.0,1.0,0.0,5
101095,,0.0,0.0,1.0,1.0,5
102351,,0.0,0.0,1.0,0.0,5
104645,,0.0,0.0,1.0,0.0,4
104417,,0.75,0.0,1.0,0.75,4
103905,,0.0,0.0,1.0,0.0,4
103514,,1.0,0.0,1.0,0.5,4
103011,,0.75,0.0,1.0,0.25,4
101545,,0.0,0.0,1.0,0.0,4
101371,,0.0,0.0,1.0,0.0,4
100551,,1.0,0.0,1.0,0.0,3
103459,,1.0,0.0,1.0,0.0,3
100071,,0.6666666666666666,0.0,1.0,0.6666666666666666,3
104109,,0.6666666666666666,0.0,1.0,0.6666666666666666,3
103681,,0.0,0.0,1.0,0.0,3
101770,,0.0,0.0,1.0,0.0,3
104418,,0.6666666666666666,0.0,1.0,0.3333333333333333,3
102035,,0.6666666666666666,0.0,1.0,0.3333333333333333,3
104078,,0.0,0.0,1.0,0.5,2
104441,,1.0,0.0,1.0,0.0,2
105591,,0.0,0.0,1.0,0.0,2
108424,,0.5,0.0,1.0,0.0,2
104419,909936.0,1.0,0.0,0.0,0.5,2
110855,,1.0,0.0,1.0,0.0,2
103742,,0.0,0.0,1.0,0.0,2
104360,,1.0,0.0,1.0,0.0,2
110876,,1.0,0.0,1.0,0.5,2
103670,,0.0,0.0,1.0,0.0,2
100385,915460.0,0.5,0.0,0.0,0.0,2
101588,,0.0,0.0,1.0,0.5,2
102513,,0.5,0.0,1.0,0.0,2
100744,907609.0,1.0,0.0,0.0,0.0,2
101059,,0.5,0.0,1.0,0.0,2
104903,,0.0,0.0,1.0,0.0,1
104434,,1.0,0.0,1.0,0.0,1
104435,,1.0,0.0,1.0,0.0,1
104493,,1.0,0.0,1.0,1.0,1
101514,,1.0,0.0,1.0,0.0,1
104546,,0.0,0.0,1.0,1.0,1
101426,,0.0,0.0,1.0,1.0,1
101122,954979.0,0.0,0.0,0.0,1.0,1
101055,,0.0,0.0,1.0,0.0,1
103707,953766.0,1.0,0.0,0.0,0.0,1
101719,959440.0,0.0,0.0,0.0,1.0,1
